fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
000_left_arm_long_wrist_latest,000_left_arm_long_wrist_latest,subassembly,1,0,163,,4610.3,111.1,202.2,523.8,True,,000_left_arm_long_wrist_latest:1
001_left_wrist_long_latest,001_left_wrist_long_latest,subassembly,1,0,4,,867.6,77.9,75.1,217.3,True,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1
3DP_arm11_x2_wrist_roll,3DP_arm11_x2_wrist_roll,part,1,1,0,Nylon 12 (with Formlabs Fuse 1 3D Printer),72.1,68.6,47.1,122.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+3DP_arm11_x2_wrist_roll:1
robstride00,robstride00,subassembly,2,0,4,,310.0,80.7,80.7,165.4,True,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1
CORE,CORE,part,2,1,0,core-material,177.5,43.2,43.2,31.0,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+CORE:1
FL57BLW12-24V-10N.m-DE.stp,FL57BLW12-24V-10N.m-DE.stp,subassembly,2,0,19,,106.5,69.0,62.4,165.4,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1
10NM_PCB_2024-10-30_ASM_ASM_ASM.stp,10NM_PCB_2024-10-30_ASM_ASM_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1
10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp,10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1
10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp,10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1
10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp,10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp,subassembly,2,0,3,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp:1
BOARD_3D_KMMV03_2024-10-21_2__2.stp,BOARD_3D_KMMV03_2024-10-21_2__2.stp,part,2,1,0,FR4,5.2,51.6,48.5,1.6,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp:1+BOARD_3D_KMMV03_2024-10-21_2__2.stp:1
VHZD-CN1_3D_KMMV03_2024-10-21_3_ASM.stp,VHZD-CN1_3D_KMMV03_2024-10-21_3_ASM.stp,subassembly,2,0,1,,2.9,15.5,5.2,11.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp:1+VHZD-CN1_3D_KMMV03_2024-10-21_3_ASM.stp:1
