Fusion 2705.1.15
power_block_casing.step: ok
Vention_USB_Hub.step: ok
CAN_Isolated.step: ok
IMU_syd_dynamics_TM171.step: ok
3DP_body_05_x1_interior_plate.step: ok
3DP_body_07_x1_front_plate_removable.step: ok
3DP_body_09_x1_back_plate_removable.step: ok
bearing_45x58x7_6809_5.4kN_40g.step: ok
robstride05_v16_2.step: ok
robstride05_v16_1.step: ok
IntelRealsense_D435_Multibody.step: ok
gimbal_arm.step: ok
twincities_v2_nolock.step: ok
schematics_1.step: ok
robstride05_v16_2_1.step: ok
robstride05_v16_1_1.step: ok
IntelRealsense_D435_Multibody_v9_1.step: ok
gimbal_arm_1.step: ok
twincities_v2_nolock_1.step: ok
body_LATEST.step: ok
3_1_02_090_0073_ASM_1_1_ASM.step: ok
Robstride_03_-_no_back_cover.step: ok
hip_center.step: ok
hip_pitch_hip_roll_L.step: ok
hip_pitch_hip_roll_R.step: ok
hip_roll_hip_yaw_L.step: ok
hip_roll_hip_yaw_R.step: ok
leg_schematics_latest.step: ok
Robstride_06-No_Back_Cover.step: ok
foot_assembly.step: ok
shanks.step: ok
robstride04.step: ok
knee_assembly.step: ok
v2.1_lower_leg_R.step: ok
bearing_35x47x7_6807_4.0kN_29g.step: ok
CNC_leg18_x2_foot_plate.step: ok
bearing_35x44x5_6707_1.6kN_15g.step: ok
bearing_50x65x7_6810_6.1kN_52g.step: ok
ankle_roll_structural_part_protection.step: ok
ankle_roll_motor_protection.step: ok
knee_motor_protection.step: ok
v2.1_lower_leg_L_copy.step: ok
hip_roll_motor.step: ok
hip_pitch_motor.step: ok
hip_pitch_motor_Mirror.step: ok
v2.1_lower_body_latest.step: ok
HL-3608_ASM_121_ASM.step: ok
FEETECH_HL_3915_Servo_Motor.step: ok
double_helix_pinion_16teeth_6mm.step: ok
C1.step: ok
C2.step: ok
C3.step: ok
C4.step: ok
C5.step: ok
C7.step: ok
C6.step: ok
D2.step: ok
DC1.step: ok
H1.step: ok
H3.step: ok
H5.step: ok
R2.step: ok
R3.step: ok
Type_C1.step: ok
U1.step: ok
U2.step: ok
C8.step: ok
C9.step: ok
C10.step: ok
M1.step: ok
Q1.step: ok
R4.step: ok
R5.step: ok
R6.step: ok
R7.step: ok
R8.step: ok
U3.step: ok
U4.step: ok
D1.step: ok
H2.step: ok
R1.step: ok
H4.step: ok
D3.step: ok
D4.step: ok
LED1.step: ok
R9.step: ok
wareshare_st_servo_controller.step: ok
base.step: ok
double_helix_rack_30teeth_6mm.step: ok
dovetail_umi_gripper.step: ok
shoulder_pitch_shoulder_roll.step: ok
robstride_02-No_back_cover.step: ok
shoulder_roll_shoulder_yaw.step: ok
3DP_arm06_x4_RS02_shaft_coupler.step: ok
shoulder_yaw_elbow.step: ok
02-3D-20211009_1_.stp.step: ok
elbow_wrist_roll.step: ok
bearing_35x44x5_6707_1.6kN_15g~2.step: ok
3_1_02_090_0073_ASM_1_1_ASM~2.step: ok
BACK_COVER1_1_06_EB903-538_1.step: ok
Robstride_03_-_full.step: ok
R06.step: ok
Robstride_06-No_Back_Cover~2.step: ok
robstride00.step: ok
wrist_3-left.step: ok
001_left_wrist_long_latest.step: ok
shoulder_pitch_protection.step: ok
shoulder_yaw_protection.step: ok
elbow_motor_protection.step: ok
shoulder_roll_shaft.step: ok
elbow_shaft.step: ok
000_left_arm_long_wrist_latest.step: ok
BACK_COVER1_1_06_EB903-538_1~2.step: ok
shoulder_pitch_shoulder_roll~2.step: ok
R06~2.step: ok
robstride_02-No_back_cover~2.step: ok
shoulder_roll_shoulder_yaw~2.step: ok
3DP_arm06_x4_RS02_shaft_coupler~2.step: ok
shoulder_yaw_elbow~2.step: ok
02-3D-20211009_1_.stp~2.step: ok
elbow_wrist_roll~2.step: ok
001_right_wrist_long_latest.step: ok
shoulder_pitch_protection~2.step: ok
shoulder_yaw_protection~2.step: ok
elbow_motor_protection~2.step: ok
shoulder_roll_shaft~2.step: ok
elbow_shaft~2.step: ok
000_right_arm_long_wrist_latest.step: ok
