path,fusion_name,file_name,visible,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
body_LATEST:1+CNC_body01_x1_bottom_plate:1,CNC_body01_x1_bottom_plate,CNC_body01_x1_bottom_plate,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body02_x2_side_plate:1,CNC_body02_x2_side_plate,CNC_body02_x2_side_plate,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body02_x2_side_plate:2,CNC_body02_x2_side_plate,CNC_body02_x2_side_plate,True,-1.000000,0.000000,0.000000,-0.000000,-0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body03_x1_top_plate:1,CNC_body03_x1_top_plate,CNC_body03_x1_top_plate,True,-1.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,41.200000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,MINISFORUM AI X1,MINISFORUM_AI_X1,True,0.000000,0.000000,-1.000000,-0.400000,0.000000,1.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,13.325000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,battery_zeee_10000mah,battery_zeee_10000mah,True,0.000000,1.000000,0.000000,-3.400000,-0.000000,0.000000,1.000000,-6.300000,1.000000,0.000000,0.000000,13.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:2,battery_zeee_10000mah,battery_zeee_10000mah,True,0.000000,1.000000,0.000000,-3.400000,-0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,13.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_tester:1,battery_tester,battery_tester,True,0.000000,1.000000,0.000000,-3.325000,-1.000000,0.000000,0.000000,-4.825000,0.000000,0.000000,1.000000,27.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_tester:2,battery_tester,battery_tester,True,0.000000,-1.000000,0.000000,-2.000000,1.000000,0.000000,0.000000,4.825000,0.000000,0.000000,1.000000,27.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+150A relay:1,150A relay,150A_relay,True,0.000000,-0.000000,-1.000000,-2.000000,1.000000,0.000000,0.000000,-0.000000,0.000000,-1.000000,0.000000,27.900000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+casing:1,casing,casing,True,0.000000,0.000000,1.000000,-1.410000,1.000000,-0.000000,-0.000000,0.000000,-0.000000,1.000000,0.000000,34.550000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+6x10-7holes:1+block:1,block,block,True,0.000000,0.000000,1.000000,-1.390000,-0.000000,1.000000,-0.000000,0.565000,-1.000000,-0.000000,0.000000,34.625000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+6x10-7holes:2+block:1,block,block,True,0.000000,0.000000,1.000000,-1.390000,0.000000,1.000000,-0.000000,-0.565000,-1.000000,0.000000,0.000000,34.625000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,VEMONT USB-C Hub Long,VEMONT_USB-C_Hub_Long,True,0.000000,-1.000000,-0.000000,-2.200000,-0.000000,-0.000000,1.000000,-7.175000,-1.000000,0.000000,-0.000000,17.500000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,VEMONT USB-C Hub Long,VEMONT_USB-C_Hub_Long,True,0.000000,-1.000000,0.000000,-2.200000,0.000000,0.000000,1.000000,7.175000,-1.000000,0.000000,0.000000,17.500000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_long:2+casing:1,casing,casing,True,-1.000000,-0.000000,0.000000,-4.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_long:2+6x10-7holes:1+block:1,block,block,True,0.000000,1.000000,-0.000000,-4.000000,1.000000,-0.000000,-0.000000,-0.125000,-0.000000,0.000000,-1.000000,2.810000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_long:2+6x10-7holes:2+block:1,block,block,True,0.000000,-1.000000,-0.000000,-4.000000,1.000000,0.000000,-0.000000,-0.125000,0.000000,0.000000,1.000000,3.010000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+Hub:1,Hub,Hub,True,0.000000,-0.000000,1.000000,5.130000,-1.000000,-0.000000,0.000000,5.925000,0.000000,-1.000000,-0.000000,2.325000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+USB Straight:1,USB Straight,USB_Straight,True,0.000000,1.000000,0.000000,5.130000,-1.000000,0.000000,0.000000,2.150000,0.000000,-0.000000,1.000000,3.837500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+USB Straight:2,USB Straight,USB_Straight,True,0.000000,1.000000,0.000000,5.130000,-1.000000,0.000000,0.000000,0.075000,0.000000,-0.000000,1.000000,3.837500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,0.000000,0.000000,-1.000000,4.700000,-0.000000,-1.000000,0.000000,7.175000,-1.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,CAN_Isolated,CAN_Isolated,True,-1.000000,0.000000,0.000000,-0.550000,0.000000,-0.000000,-1.000000,7.812500,0.000000,-1.000000,0.000000,22.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:2+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,0.000000,0.000000,-1.000000,4.700000,-0.000000,-1.000000,0.000000,-7.175000,-1.000000,0.000000,0.000000,22.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:2,CAN_Isolated,CAN_Isolated,True,-1.000000,0.000000,0.000000,-0.550000,0.000000,-0.000000,-1.000000,-6.537500,0.000000,-1.000000,0.000000,22.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:3+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,0.000000,-0.000000,-1.000000,4.275000,-0.000000,-1.000000,0.000000,5.712500,-1.000000,0.000000,-0.000000,3.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:3,CAN_Isolated,CAN_Isolated,True,-1.000000,0.000000,0.000000,-0.975000,0.000000,0.000000,-1.000000,6.350000,-0.000000,-1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:4+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,-0.000000,0.000000,-1.000000,4.275000,0.000000,1.000000,0.000000,-5.712500,1.000000,-0.000000,-0.000000,3.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:4,CAN_Isolated,CAN_Isolated,True,-1.000000,-0.000000,0.000000,-0.975000,0.000000,0.000000,1.000000,-6.350000,-0.000000,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,-0.000000,-0.000000,-1.000000,1.462500,0.000000,1.000000,-0.000000,-7.175000,1.000000,-0.000000,-0.000000,13.525000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:2,USB-C Cable,USB-C_Cable,True,0.000000,-0.000000,-1.000000,1.462500,0.000000,1.000000,-0.000000,-7.175000,1.000000,-0.000000,0.000000,11.925000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:3,USB-C Cable,USB-C_Cable,True,-0.000000,0.000000,-1.000000,1.462500,0.000000,1.000000,0.000000,7.175000,1.000000,-0.000000,0.000000,13.525000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:4,USB-C Cable,USB-C_Cable,True,0.000000,0.000000,-1.000000,1.462500,-0.000000,1.000000,0.000000,7.175000,1.000000,-0.000000,-0.000000,11.925000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:1,USB Straight,USB_Straight,True,-0.000000,-0.000000,1.000000,-0.412500,-0.000000,1.000000,0.000000,-7.175000,-1.000000,-0.000000,0.000000,10.350000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:2,USB Straight,USB_Straight,True,-0.000000,-0.000000,1.000000,-0.412500,-0.000000,1.000000,0.000000,-7.175000,-1.000000,-0.000000,-0.000000,8.412500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:3,USB Straight,USB_Straight,True,0.000000,-0.000000,1.000000,-0.412500,-0.000000,1.000000,0.000000,-7.175000,-1.000000,-0.000000,0.000000,6.475000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:4,USB Straight,USB_Straight,True,0.000000,-0.000000,1.000000,-0.412500,-0.000000,1.000000,0.000000,-7.175000,-1.000000,-0.000000,-0.000000,4.537500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:5,USB Straight,USB_Straight,True,-0.000000,-0.000000,1.000000,-0.412500,-0.000000,1.000000,0.000000,-7.175000,-1.000000,-0.000000,-0.000000,2.600000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:6,USB Straight,USB_Straight,True,0.000000,0.000000,1.000000,-0.412500,0.000000,1.000000,-0.000000,7.175000,-1.000000,0.000000,0.000000,10.350000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:7,USB Straight,USB_Straight,True,0.000000,0.000000,1.000000,-0.412500,0.000000,1.000000,-0.000000,7.175000,-1.000000,0.000000,-0.000000,8.412500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:8,USB Straight,USB_Straight,True,-0.000000,0.000000,1.000000,-0.412500,0.000000,1.000000,-0.000000,7.175000,-1.000000,-0.000000,-0.000000,6.475000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:9,USB Straight,USB_Straight,True,0.000000,0.000000,1.000000,-0.412500,0.000000,1.000000,-0.000000,7.175000,-1.000000,0.000000,0.000000,4.537500,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:10,USB Straight,USB_Straight,True,0.000000,0.000000,1.000000,-0.412500,0.000000,1.000000,-0.000000,7.175000,-1.000000,0.000000,0.000000,2.600000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB Straight:11,USB Straight,USB_Straight,True,0.000000,-1.000000,-0.000000,2.350000,-1.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-1.000000,6.915000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:5,USB-C Cable,USB-C_Cable,True,0.000000,1.000000,0.000000,2.350000,-1.000000,0.000000,0.000000,-2.000000,0.000000,-0.000000,1.000000,4.915000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+USB-C Cable:6,USB-C Cable,USB-C_Cable,True,0.000000,-1.000000,-0.000000,1.850000,-1.000000,-0.000000,0.000000,2.000000,-0.000000,0.000000,-1.000000,21.735000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:9+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,-0.000000,0.000000,-1.000000,4.700000,-0.000000,-1.000000,-0.000000,7.175000,-1.000000,0.000000,0.000000,26.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:9,CAN_Isolated,CAN_Isolated,True,-1.000000,-0.000000,0.000000,-0.550000,-0.000000,-0.000000,-1.000000,7.812500,0.000000,-1.000000,-0.000000,26.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:10+USB-C Cable:1,USB-C Cable,USB-C_Cable,True,-0.000000,0.000000,-1.000000,4.700000,-0.000000,-1.000000,-0.000000,-7.175000,-1.000000,0.000000,0.000000,26.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:10,CAN_Isolated,CAN_Isolated,True,-1.000000,-0.000000,0.000000,-0.550000,-0.000000,-0.000000,-1.000000,-6.537500,0.000000,-1.000000,-0.000000,26.250000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+lumped_wires:1,lumped_wires,lumped_wires,True,1.000000,-0.000000,-0.000000,0.600000,-0.000000,1.000000,-0.000000,0.018752,-0.000000,-0.000000,1.000000,0.119148,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4+Component1:1,Component1,Component1,True,0.000000,-1.000000,0.000000,4.450000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,41.200000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4+Component2:1,Component2,Component2,True,-0.000000,-1.000000,0.000000,4.950000,1.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,41.200000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_05_x1_interior_plate:1,3DP_body_05_x1_interior_plate,3DP_body_05_x1_interior_plate,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body04_x4_front_plate:1,CNC_body04_x4_front_plate,CNC_body04_x4_front_plate,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body04_x4_front_plate:2,CNC_body04_x4_front_plate,CNC_body04_x4_front_plate,True,-1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body04_x4_front_plate:3,CNC_body04_x4_front_plate,CNC_body04_x4_front_plate,True,-1.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,-1.000000,41.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+CNC_body04_x4_front_plate:4,CNC_body04_x4_front_plate,CNC_body04_x4_front_plate,True,1.000000,-0.000000,-0.000000,0.000000,-0.000000,-1.000000,-0.000000,0.000000,-0.000000,0.000000,-1.000000,41.400000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_06_x1_front_plate_fixed:1,3DP_body_06_x1_front_plate_fixed,3DP_body_06_x1_front_plate_fixed,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+WIRES:1+Small Wires Midplate Rough:1,Small Wires Midplate Rough,Small_Wires_Midplate_Rough,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:9,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,-1.000000,6.308750,-0.000000,-1.000000,0.000000,7.129815,-1.000000,0.000000,0.000000,30.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:10,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,7.129815,-1.000000,-0.000000,-0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:11,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,7.129815,-1.000000,-0.000000,-0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:12,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,7.129815,-1.000000,-0.000000,-0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:13,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,-7.129815,-1.000000,-0.000000,-0.000000,30.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:14,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,-7.129815,-1.000000,-0.000000,-0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:15,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,-0.000000,1.000000,0.000000,-7.129815,-1.000000,-0.000000,-0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:16,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,6.150000,0.000000,1.000000,0.000000,-7.129815,-1.000000,-0.000000,-0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,3DP_body_07_x1_front_plate_removable,3DP_body_07_x1_front_plate_removable,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_08_x1_back_plate_fixed:1,3DP_body_08_x1_back_plate_fixed,3DP_body_08_x1_back_plate_fixed,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:1,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,-7.129815,-1.000000,0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:2,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,-7.129815,-1.000000,0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:3,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,-7.129815,-1.000000,0.000000,0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:4,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,-7.129815,-1.000000,0.000000,0.000000,30.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:5,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,7.129815,-1.000000,0.000000,0.000000,30.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:6,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,7.129815,-1.000000,0.000000,0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:7,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,7.129815,-1.000000,0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:8,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,7.129815,-1.000000,0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:18,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,3.000000,-1.000000,0.000000,0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:23,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,0.000000,0.000000,1.000000,-6.308750,0.000000,1.000000,0.000000,-3.000000,-1.000000,0.000000,0.000000,22.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:31,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,3.000000,-1.000000,-0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:32,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,-3.000000,-1.000000,-0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:33,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,3.000000,-1.000000,-0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:34,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,-3.000000,-1.000000,-0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
