fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path,color_rgb,appearance,com_x_mm,com_y_mm,com_z_mm,ixx,iyy,izz,ixy,iyz,ixz
000_left_arm_long_wrist_latest,000_left_arm_long_wrist_latest,subassembly,1,0,163,,4610.3,112.1,664.2,541.6,True,,000_left_arm_long_wrist_latest:1,,,-1.245,-224.662,-0.129,404037571.1,3329885.8,404035926.7,-932253.8,-267716.2,7166.1
001_left_wrist_long_latest,001_left_wrist_long_latest,subassembly,1,0,4,,867.6,77.9,161.6,488.4,True,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1,,,0.658,-0.1,-116.297,13490309.4,13510234.6,467538.3,2782.2,-23684.9,56320.5
3DP_arm11_x2_wrist_roll,3DP_arm11_x2_wrist_roll,part,1,1,0,Nylon 12 (with Formlabs Fuse 1 3D Printer),72.1,68.6,47.1,122.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+3DP_arm11_x2_wrist_roll:1,"63,63,63",Nylon 12 (with Formlabs Fuse 1 3D Printer),-0.0,-1.034,-61.501,361989.5,377134.9,34833.9,-0.0,-9663.5,-0.0
robstride00,robstride00,subassembly,2,0,4,,310.0,80.7,80.7,52.1,True,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1,,,-0.017,-0.237,-21.065,246834.5,246770.8,111235.4,-59.3,-1781.6,-42.4
CORE,CORE~3,part,2,1,0,core-material,177.5,43.2,43.2,31.0,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+CORE:1,"160,160,160",Steel - Satin,-0.0,0.0,-21.088,111296.3,111296.3,41180.8,0.0,0.0,-0.0
FL57BLW12-24V-10N.m-DE.stp,FL57BLW12-24V-10N.m-DE.stp,subassembly,2,0,19,,106.5,57.0,57.0,51.1,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1,,,-0.048,0.692,14.405,78662.4,79251.7,60261.8,75.4,-1418.5,16.8
10NM_PCB_2024-10-30_ASM_ASM_ASM.stp,10NM_PCB_2024-10-30_ASM_ASM_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1,,,-0.166,-0.017,0.797,3516.9,1068.5,4536.7,-44.1,0.1,1.5
10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp,10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1,,,-0.166,-0.017,0.797,3516.9,1068.5,4536.7,-44.1,0.1,1.5
10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp,10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp,subassembly,2,0,1,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1,,,-0.166,-0.017,0.797,3516.9,1068.5,4536.7,-44.1,0.1,1.5
10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp,10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp,subassembly,2,0,3,,11.1,51.6,54.3,5.3,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp:1,,,-0.166,-0.017,0.797,3516.9,1068.5,4536.7,-44.1,0.1,1.5
BOARD_3D_KMMV03_2024-10-21_2__2.stp,BOARD_3D_KMMV03_2024-10-21_2__2.stp,part,2,1,0,FR4,5.2,51.6,48.5,1.6,False,,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1+FL57BLW12-24V-10N.m-DE.stp:1+10NM_PCB_2024-10-30_ASM_ASM_ASM.stp:1+10NM_PCB_2024-10-30_ASM_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_ASM_1_ASM_1_ASM.stp:1+10NM_PCB_2024-10-30_1_ASM_1_ASM_ASM.stp:1+BOARD_3D_KMMV03_2024-10-21_2__2.stp:1,"68,119,102",FR4,-0.365,-0.091,0.793,657.7,951.5,1600.4,8.1,0.4,1.5
