part_id,rev,kind,format,path,bytes,sha256
3DP_arm05_RS02_shaft_bearing_retainer,01,step,STEP,files/step/3DP_arm05_RS02_shaft_bearing_retainer_rev01.step,314228,de7c1202dcd9667031e3e3194f0b329e39b89b1fe522fe4fd3ba6707ac0f7301
3DP_arm06_RS02_shaft_coupler,01,step,STEP,files/step/3DP_arm06_RS02_shaft_coupler_rev01.step,895188,3cf0fd0faddb82f246b05dacc4e9be193eaeeee33f8aaab806558972afac2e4f
3DP_arm11_wrist_roll,01,step,STEP,files/step/3DP_arm11_wrist_roll_rev01.step,903291,aae207f3131dc772cddb19b51be02f33a3e8f0a6351451605b3e6e29169ea4c3
3DP_arm14_wrist_block,01,step,STEP,files/step/3DP_arm14_wrist_block_rev01.step,448420,ca25e16faae35f63b2013efe3c801801acf012004fa0d2229c75af95aef93565
3DP_arm15_end_effector_attachment,01,step,STEP,files/step/3DP_arm15_end_effector_attachment_rev01.step,333240,6f3c4f6828b142d8c5a4db45dbc568051733a819485a1dcdd757203dfe8dc8ff
3DP_armP01_elbow_cover_a,01,step,STEP,files/step/3DP_armP01_elbow_cover_a_rev01.step,473168,efa807bc7de5fd51c3d9a70732e4919dde0b2fbcf2d1015f4663d90fef8da5a7
3DP_armP02_elbow_cover_b,01,step,STEP,files/step/3DP_armP02_elbow_cover_b_rev01.step,468136,fccb006a56b5c2f4ab26b2d5dfa8e7bb6c49ae58e6968aa2fe0f4b27c39af9a9
3DP_armP03_shoulder_cover_a,01,step,STEP,files/step/3DP_armP03_shoulder_cover_a_rev01.step,62027,f468f45bbe75b9d5a112ad082c04fe6a955d622a6289e24be5e06d7f25099a1b
3DP_armP04_shoulder_cover_b,01,step,STEP,files/step/3DP_armP04_shoulder_cover_b_rev01.step,59124,20ca257bac6b323c0c16a6603cf3cbb3360d786a77864a1eb07ca20fa78330cb
3DP_armP05_shoulder_cover_c,01,step,STEP,files/step/3DP_armP05_shoulder_cover_c_rev01.step,48279,970d64c4e451a0de06de3d8190e876429d195e0e73ef2656df3286278062a681
3DP_armP06_shoulder_cover_d,01,step,STEP,files/step/3DP_armP06_shoulder_cover_d_rev01.step,51467,a19b888cc4002fa60f33d322dac2d2bbd48bb668fbc72f4ea2bff88db3ab5305
3DP_armP07_shoulder_cover_e,01,step,STEP,files/step/3DP_armP07_shoulder_cover_e_rev01.step,516772,e615b90f4cda13513ef0b39aa56198345a8b58ca9d6259daeb6adb07c631df47
3DP_armP08_shoulder_cover_f,01,step,STEP,files/step/3DP_armP08_shoulder_cover_f_rev01.step,513404,a955673717cea0811043680fceb37c901b3105563cd733ebe733141a263022be
3DP_armP09_shoulder_yaw_cover_a,01,step,STEP,files/step/3DP_armP09_shoulder_yaw_cover_a_rev01.step,698559,623f503bd4900f65586ae131e6be7b619d2a6ba4d152f65360fb1b3d707e5be7
3DP_armP10_shoulder_yaw_cover_b,01,step,STEP,files/step/3DP_armP10_shoulder_yaw_cover_b_rev01.step,693731,f94a111fef2810901660e5771ed8c8eaa899fcade99545728a2aa8312631d790
3DP_armP11_shoulder_yaw_cover_c,01,step,STEP,files/step/3DP_armP11_shoulder_yaw_cover_c_rev01.step,1465019,c32a79c8e3484978bf18ba6d7485b76c55e795c76a18c3868f7e90b4b198fdb2
