subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes,team_ref
leg,machined,CNC_leg01_hip_center_back,Hip 1 Motor Bracket,,,,,,2,81.59,,,CNC,,,2026-09-19,"Team BOM C6: ""Hip 1 Motor Bracket"", 2 off.",C6
leg,machined,CNC_leg02_RS03_shaft_coupler,Robstride 03 Output Shaft,,,,,,7,46.785,,,CNC,,,2026-09-19,"Team BOM C5: ""Robstride 03 Output Shaft"", 7 off. The quote carries this part as two lots (6 pcs at 274.02 and 2 pcs at 100.26, 374.28 for 8); the team BOM prices it at 46.785 each, which is that 374.28 divided by 8, for 7 pieces.",C5
leg,machined,CNC_leg03_RS03_shaft_bearing_retainer,Robstride 03 Bearing Retainer,,,,,,5,49.34,,,CNC,,,2026-09-19,"Team BOM C4: ""Robstride 03 Bearing Retainer"", 5 off.",C4
leg,machined,CNC_leg04_hip_roll_front_bearing_retainer,Hip 2 Motor Bracket,,,,,,2,48.59,,,CNC,,,2026-09-19,"Team BOM C7: ""Hip 2 Motor Bracket"", 2 off.",C7
leg,machined,CNC_leg05_hip_roll_back_bearing_retainer,Hip 2 Bearing Retainer,,,,,,2,68.02,,,CNC,,,2026-09-19,"Team BOM C8: ""Hip 2 Bearing Retainer"", 2 off.",C8
leg,machined,CNC_leg06_hip_roll_output_shaft,Hip 3 Output Shaft,,,,,,2,59.96,,,CNC,,,2026-09-19,"Team BOM C9: ""Hip 3 Output Shaft"", 2 off.",C9
leg,machined,CNC_leg07_hip_roll_support_shaft,Hip 3 Supporting Shaft,,,,,,2,57.43,,,CNC,,,2026-09-19,"Team BOM C10: ""Hip 3 Supporting Shaft"", 2 off.",C10
leg,machined,CNC_leg08_knee_front_bearing_retainer,Knee Motor Bracket,,,,,,2,54.81,,,CNC,,,2026-09-19,"Team BOM C11: ""Knee Motor Bracket"", 2 off.",C11
leg,machined,CNC_leg09_knee_motor_back_cover,Knee Bearing Retainer,,,,,,2,81.35,,,CNC,,,2026-09-19,"Team BOM C12: ""Knee Bearing Retainer"", 2 off.",C12
leg,machined,CNC_leg10_knee_output_shank,Shank Shaft,,,,,,2,113.29,,,CNC,,,2026-09-19,"Team BOM C13: ""Shank Shaft"", 2 off.",C13
leg,machined,CNC_leg11_knee_support_shank,Shank Support,,,,,,2,50.05,,,CNC,,,2026-09-19,"Team BOM C14: ""Shank Support"", 2 off.",C14
leg,machined,CNC_leg12_lower_leg_bearing,Shank Joint Cap,,,,,,4,16.5,,,CNC,,,2026-09-19,"Team BOM C15: ""Shank Joint Cap"", 4 off. The quote's name says x4 and its lot was 5 pieces; the team BOM says 4.",C15
leg,machined,CNC_leg13_ankle_pitch_front,Ankle Motor Bracket,,,,,,2,78.82,,,CNC,,,2026-09-19,"Team BOM C16: ""Ankle Motor Bracket"", 2 off.",C16
leg,machined,CNC_leg14_ankle_pitch_back,Ankle Bearing Retainer,,,,,,2,95.85,,,CNC,,,2026-09-19,"Team BOM C17: ""Ankle Bearing Retainer"", 2 off.",C17
leg,machined,CNC_leg15_RS06_shaft_bearing_retainer,Robstride 06 Bearing Retainer,,,,,,2,37.81,,,CNC,,,2026-09-19,"Team BOM C18: ""Robstride 06 Bearing Retainer"", 2 off.",C18
leg,machined,CNC_leg16_ankle_roll_output_shaft,Foot Shaft,,,,,,2,39.4,,,CNC,,,2026-09-19,"Team BOM C19: ""Foot Shaft"", 2 off.",C19
leg,machined,CNC_leg17_ankle_roll_support_shaft,Foot Support,,,,,,2,34.6,,,CNC,,,2026-09-19,"Team BOM C20: ""Foot Support"", 2 off.",C20
leg,machined,CNC_leg18_foot_plate,Foot,,,,,,2,53.76,,,CNC,,,2026-09-19,"Team BOM C21: ""Foot"", 2 off.",C21
arm,machined,CNC_arm01_shoulder_roll_front_bearing,Shoulder Motor Bracket,,,,,,2,46.69,,,CNC,,,2026-09-19,"Team BOM C22: ""Shoulder Motor Bracket"", 2 off.",C22
