component,component_path,joint,kind,type,occurrence_one,occurrence_two,origin_x_mm,origin_y_mm,origin_z_mm,axis_x,axis_y,axis_z,min,max,value,units,min_deg,max_deg,value_deg,min_mm,max_mm,value_mm,is_suppressed,note
humanoid_2.1_latest,,Rigid 8,joint,rigid,v2.1_lower_body_latest:1+Robstride 03 - no back cover:1+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_31_QT-942_1:1,body_LATEST:1+CNC_body01_x1_bottom_plate:1,45.27,18.751,6.0,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 12,joint,rigid,000_right_arm_long_wrist_latest:1+Robstride 03 - full:1+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_06_EB903-534_ASM_1_1_ASM:1+1_1_06_EB903-537_1_1:1,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:3+half-bearing-45x58x7_6809_5.4kN_40g:2,-0.0,-83.0,347.5,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 13,joint,rigid,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2+half-bearing-45x58x7_6809_5.4kN_40g:1,body_LATEST:1+CNC_body02_x2_side_plate:1,-0.0,90.0,347.5,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 14,joint,rigid,dovetail_umi_gripper:2+base:1,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+v15_right_end_effector_attachment:1,-18.0,305.645,-147.537,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 15,joint,rigid,000_right_arm_long_wrist_latest:1+001_right_wrist_long_latest:1+v15_right_end_effector_attachment:1,dovetail_umi_gripper:1+base:1,18.0,-305.645,-147.537,,,,,,,,,,,,,,False,
power_block_casing,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,Rigid 1,joint,rigid,6x10-7holes:1+block:1,casing:1,8.7,21.75,5.2,,,,,,,,,,,,,,False,
power_block_casing,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,Rigid 2,joint,rigid,6x10-7holes:2+block:1,casing:1,-8.7,21.75,5.2,,,,,,,,,,,,,,False,
Vention USB Hub,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,Rigid 1,joint,rigid,USB Straight:1,Hub:1,37.75,-1.625,-0.0,,,,,,,,,,,,,,False,
Vention USB Hub,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,Rigid 2,joint,rigid,USB Straight:2,Hub:1,58.5,-1.625,-0.0,,,,,,,,,,,,,,False,
CAN_Isolated,body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,Rigid 1,joint,rigid,USB-C Cable:1,,-25.5,0.0,6.375,,,,,,,,,,,,,,False,
IMU_syd_dynamics_TM171,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4,Rigid 1,joint,rigid,Component2:1,Component1:1,-9.5,15.0,3.3,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 4,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:2,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,-34.0,-0.0,137.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 12,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,3DP_body_05_x1_interior_plate:1,-9.5,-31.5,55.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 22,joint,rigid,3DP_body_05_x1_interior_plate:1+150A relay:1,3DP_body_05_x1_interior_plate:1,-20.0,0.0,242.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 72,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_tester:1,3DP_body_05_x1_interior_plate:1,-20.0,-62.5,294.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 73,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_tester:2,3DP_body_05_x1_interior_plate:1,-20.0,62.5,294.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 74,joint,rigid,3DP_body_05_x1_interior_plate:1+power_block_casing:5+casing:1,3DP_body_05_x1_interior_plate:1,-9.0,-0.0,318.5,,,,,,,,,,,,,,False,
