module_id,fusion_name,english_name,class,depth,qty,children,mass_g,path,file,note
power-block-casing,power_block_casing,Power distribution block with casing,module,2,2,3,42.5,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,power_block_casing.step,
vention-usb-hub,Vention USB Hub,Vention USB hub (vendor model),vendor,2,1,3,43.8,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,Vention_USB_Hub.step,
can-isolated,CAN_Isolated,USB-CAN adapter with its cables (vendor model),vendor,2,6,1,33.3,body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,CAN_Isolated.step,
imu-syd-dynamics-tm171,IMU_syd_dynamics_TM171,SYD Dynamics TM171 IMU (vendor model),vendor,2,1,2,24.1,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4,IMU_syd_dynamics_TM171.step,
3dp-body-05-x1-interior-plate,3DP_body_05_x1_interior_plate,Electronics tray (torso interior plate with the electronics mounted),module,1,1,36,4637.4,body_LATEST:1+3DP_body_05_x1_interior_plate:1,3DP_body_05_x1_interior_plate.step,
3dp-body-07-x1-front-plate-removable,3DP_body_07_x1_front_plate_removable,"Torso front plate, removable, with its magnets",module,1,1,8,96.9,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,3DP_body_07_x1_front_plate_removable.step,
3dp-body-09-x1-back-plate-removable,3DP_body_09_x1_back_plate_removable,"Torso back plate, removable, with its magnets",module,1,1,14,113.8,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,3DP_body_09_x1_back_plate_removable.step,
bearing-45x58x7-6809-5-4kn-40g,bearing_45x58x7_6809_5.4kN_40g,"Ball bearing 45 x 58 x 7 mm, 6809 (vendor model, two halves)",vendor,2,11,2,39.9,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2,bearing_45x58x7_6809_5.4kN_40g.step,
robstride05-v16-2,robstride05 v16 (2),"RobStride RS05 actuator, camera gimbal (vendor assembly)",vendor,2,1,3,194.1,body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (2):1,robstride05_v16_2.step,
robstride05-v16-1,robstride05 v16 (1),"RobStride RS05 actuator, camera gimbal (vendor assembly)",vendor,2,1,3,194.1,body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (1):1,robstride05_v16_1.step,
intelrealsense-d435-multibody,IntelRealsense_D435_Multibody v9,Intel RealSense D435 camera (vendor model),vendor,2,1,8,71.0,body_LATEST:1+twincities_v2_nolock:1+IntelRealsense_D435_Multibody v9:1,IntelRealsense_D435_Multibody.step,
gimbal-arm,gimbal_arm,Camera gimbal arm with its link,module,2,1,1,26.0,body_LATEST:1+twincities_v2_nolock:1+gimbal_arm:1,gimbal_arm.step,
twincities-v2-nolock,twincities_v2_nolock,Camera gimbal column,module,1,1,9,585.2,body_LATEST:1+twincities_v2_nolock:1,twincities_v2_nolock.step,
schematics-1,schematics (1),Camera column sketches (second column),sketch,2,1,2,0.0,body_LATEST:1+twincities_v2_nolock (1):1+schematics (1):1,schematics_1.step,not staged
robstride05-v16-2-1,robstride05 v16 (2) (1),"RobStride RS05 actuator, camera gimbal (vendor assembly)",vendor,2,1,3,194.1,body_LATEST:1+twincities_v2_nolock (1):1+robstride05 v16 (2) (1):1,robstride05_v16_2_1.step,
robstride05-v16-1-1,robstride05 v16 (1) (1),"RobStride RS05 actuator, camera gimbal (vendor assembly)",vendor,2,1,3,194.1,body_LATEST:1+twincities_v2_nolock (1):1+robstride05 v16 (1) (1):1,robstride05_v16_1_1.step,
intelrealsense-d435-multibody-v9-1,IntelRealsense_D435_Multibody v9 (1),"Intel RealSense D435 camera (vendor model, second column)",vendor,2,1,8,71.0,body_LATEST:1+twincities_v2_nolock (1):1+IntelRealsense_D435_Multibody v9 (1):1,IntelRealsense_D435_Multibody_v9_1.step,
gimbal-arm-1,gimbal_arm (1),Camera gimbal arm with its link (second column),module,2,1,1,26.0,body_LATEST:1+twincities_v2_nolock (1):1+gimbal_arm (1):1,gimbal_arm_1.step,
