part_id,fusion_name,material,mass_g,volume_cm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,com_x_mm,com_y_mm,com_z_mm,ixx,iyy,izz,ixy,ixz,iyz,ixx_origin,iyy_origin,izz_origin,ixy_origin,ixz_origin,iyz_origin,notes
3DP_arm05_RS02_shaft_bearing_retainer,3DP_arm05_x4_RS02_shaft_bearing_retainer,Nylon 12 (with Formlabs Fuse 1 3D Printer),70.6,69.6,79.5,79.5,45.5,0.0,-89.999,-110.234,44008.0,43805.1,60046.4,0.0,0.0,-244.3,1473753.6,901703.5,631893.7,-0.0,-0.0,-700663.4,
3DP_arm06_RS02_shaft_coupler,3DP_arm06_x4_RS02_shaft_coupler,Nylon 12 (with Formlabs Fuse 1 3D Printer),,63.67,40.0,55.0,71.2,0.0,-90.0,-135.64,,,,,,,,,,,,,"the 2 Fusion copies of this part differ in centre of mass (`3DP_arm06_x4_RS02_shaft_coupler` -0.0 × -90.0 × -136.729; `3DP_arm06_x4_RS02_shaft_coupler~2` 0.55 × -87.676 × -135.196): values are of `3DP_arm06_x4_RS02_shaft_coupler`; Fusion component `3DP_arm06_x4_RS02_shaft_coupler` carries 6 child component(s): its CAD mass (67.5 g), bounding box (40 × 55 × 71.2 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; size, volume and centre of mass are of the component's own body, from the STL"
3DP_arm11_wrist_roll,3DP_arm11_x2_wrist_roll,Nylon 12 (with Formlabs Fuse 1 3D Printer),72.1,75.85,68.6,47.1,122.3,0.0,-1.034,-61.501,89203.3,104425.8,34756.8,0.0,0.0,-5078.5,361989.5,377134.9,34833.9,-0.0,-0.0,-9663.5,STL bounding box 68 × 42 × 122.3 mm differs from the Fusion bounding box 68.6 × 47.1 × 122.3 mm: check the component for a hidden body
3DP_arm14_wrist_block,Component5,Nylon 12 (with Formlabs Fuse 1 3D Printer),138.0,135.89,71.9,68.0,131.1,15.237,-87.054,-421.19,185325.4,214026.0,83112.1,2681.7,-55632.8,8907.5,25712484.7,24727405.2,1160970.1,185730.7,830005.9,-5051038.3,inertia about the centre of mass carries up to ±9261 g·mm² from the 0.1 g mass rounding in the export (centre of mass 430 mm from the component origin)
3DP_arm15_end_effector_attachment,v15_right_end_effector_attachment,Nylon 12 (with Formlabs Fuse 1 3D Printer),130.2,128.28,66.0,55.5,98.0,0.0,-108.171,-472.592,121195.4,122723.1,54560.7,0.5,2.2,26860.0,30723945.5,29202007.5,1578026.4,0.5,2.2,-6629061.6,inertia about the centre of mass carries up to ±11752 g·mm² from the 0.1 g mass rounding in the export (centre of mass 485 mm from the component origin)
3DP_armP01_elbow_cover_a,Component38,elbow_protection,6.1,7.67,43.8,31.3,78.2,-29.965,-96.73,-215.4,5906.3,5868.9,1661.7,-69.4,852.1,-500.0,346004.8,294368.8,64214.7,-17750.3,-38520.1,-127597.4,inertia about the centre of mass carries up to ±2833 g·mm² from the 0.1 g mass rounding in the export (centre of mass 238 mm from the component origin)
3DP_armP02_elbow_cover_b,Component39,elbow_protection,6.1,7.67,43.8,31.3,78.2,29.965,-96.73,-215.4,5906.3,5868.9,1661.7,69.4,-852.1,-500.0,346004.8,294368.8,64214.7,17750.3,38520.1,-127597.4,inertia about the centre of mass carries up to ±2833 g·mm² from the 0.1 g mass rounding in the export (centre of mass 238 mm from the component origin)
3DP_armP03_shoulder_cover_a,Component40,shoulder_protection,7.9,19.84,11.5,46.6,82.3,38.304,-90.0,-18.369,6456.7,4471.1,2243.1,147.6,87.1,-70.9,73112.3,18727.6,77824.0,27381.7,5645.6,-13131.3,inertia about the centre of mass carries up to ±495 g·mm² from the 0.1 g mass rounding in the export (centre of mass 100 mm from the component origin)
3DP_armP04_shoulder_cover_b,Component41,shoulder_protection,7.9,19.84,11.5,46.6,82.3,-38.304,-90.0,-18.369,6456.7,4471.1,2243.1,-147.6,-87.1,-70.9,73112.3,18727.6,77824.0,-27381.7,-5645.6,-13131.3,inertia about the centre of mass carries up to ±495 g·mm² from the 0.1 g mass rounding in the export (centre of mass 100 mm from the component origin)
3DP_armP05_shoulder_cover_c,Component42,shoulder_protection,7.6,19.04,46.6,11.0,82.3,0.0,-128.487,-225.555,5744.1,6972.2,2098.6,0.0,0.0,-716.2,517862.3,393622.6,127566.3,-0.0,-0.0,-220970.9,inertia about the centre of mass carries up to ±3369 g·mm² from the 0.1 g mass rounding in the export (centre of mass 260 mm from the component origin)
3DP_armP06_shoulder_cover_d,Component43,shoulder_protection,7.6,19.04,46.6,11.0,82.3,0.0,-51.513,-225.555,5427.3,6972.2,1781.6,0.0,0.0,-215.3,412245.0,393622.6,21948.9,-0.0,-0.0,-88519.8,inertia about the centre of mass carries up to ±2676 g·mm² from the 0.1 g mass rounding in the export (centre of mass 231 mm from the component origin)
3DP_armP07_shoulder_cover_e,Component34,measured_shoulder_protection,12.5,18.57,38.5,86.2,47.5,7.765,-98.529,-32.032,9898.0,3632.0,10238.8,13.4,-130.7,2203.0,144073.2,17211.3,132342.0,9576.9,2978.4,-37248.0,inertia about the centre of mass carries up to ±540 g·mm² from the 0.1 g mass rounding in the export (centre of mass 104 mm from the component origin)
3DP_armP08_shoulder_cover_f,Component35,measured_shoulder_protection,12.5,18.57,38.5,86.2,47.5,7.765,-98.529,32.032,9898.0,3632.0,10238.8,13.4,130.7,-2203.0,144073.2,17211.3,132342.0,9576.9,-2978.4,37248.0,inertia about the centre of mass carries up to ±540 g·mm² from the 0.1 g mass rounding in the export (centre of mass 104 mm from the component origin)
3DP_armP09_shoulder_yaw_cover_a,Component36,shoulder_yaw_protection,8.3,10.0,43.3,86.5,32.0,-26.281,-90.0,-77.814,8129.2,2290.1,8530.3,-31.1,-28.7,-91.8,125615.9,58279.5,81493.0,-19663.0,-17002.4,-58218.9,inertia about the centre of mass carries up to ±742 g·mm² from the 0.1 g mass rounding in the export (centre of mass 122 mm from the component origin)
3DP_armP10_shoulder_yaw_cover_b,Component37,shoulder_yaw_protection,8.3,10.0,43.3,86.5,32.0,26.281,-90.0,-77.814,8129.2,2290.1,8530.3,31.1,28.7,-91.8,125615.9,58279.5,81493.0,19663.0,17002.4,-58218.9,inertia about the centre of mass carries up to ±742 g·mm² from the 0.1 g mass rounding in the export (centre of mass 122 mm from the component origin)
3DP_armP11_shoulder_yaw_cover_c,shoulder_yaw_protection,shoulder_yaw_protection,,,,,,,,,,,,,,,,,,,,,"Fusion component `shoulder_yaw_protection` carries 2 child component(s): its CAD mass (19.2 g), bounding box (86.5 × 86.5 × 32 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; the STL holds 52 shell(s) for 12 own body/bodies, or is not closed: not used"
3DP_body05_interior_plate,3DP_body_05_x1_interior_plate,PLA (for Bambu H2D) (1),,299.66,102.0,156.0,308.5,-19.22,0.03,159.48,,,,,,,,,,,,,"Fusion component `3DP_body_05_x1_interior_plate` carries 36 child component(s): its CAD mass (4637.4 g), bounding box (130.1 × 156.3 × 414.6 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; size, volume and centre of mass are of the component's own body, from the STL"
3DP_body06_front_plate,3DP_body_06_x1_front_plate_fixed,ABS Plastic 60%infill,73.9,105.54,11.3,174.8,351.4,60.047,0.0,229.229,1279913.9,945430.8,335758.0,0.0,-4708.4,0.0,5163058.5,5095032.3,602215.0,0.0,-1021906.0,0.0,
3DP_body07_front_plate_removable,3DP_body_07_x1_front_plate_removable,ABS Plastic 60%infill,,,,,,,,,,,,,,,,,,,,,"Fusion component `3DP_body_07_x1_front_plate_removable` carries 8 child component(s): its CAD mass (96.9 g), bounding box (5 × 157.9 × 254.7 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; the STL holds 9 shell(s) for 1 own body/bodies, or is not closed: not used"
3DP_body08_back_plate,3DP_body_08_x1_back_plate_fixed,ABS Plastic 60%infill,73.2,104.58,11.3,174.8,332.7,-60.005,0.0,235.619,1205477.1,871676.6,335355.4,0.0,6296.4,0.0,5269271.2,5199034.6,598919.3,0.0,1041221.3,-0.0,
3DP_body09_back_plate_removable,3DP_body_09_x1_back_plate_removable,ABS Plastic 60%infill,,,,,,,,,,,,,,,,,,,,,"Fusion component `3DP_body_09_x1_back_plate_removable` carries 14 child component(s): its CAD mass (113.8 g), bounding box (13 × 157.9 × 254.7 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; the STL holds 15 shell(s) for 1 own body/bodies, or is not closed: not used"
3DP_cam01_gimbal_mount,gimbal_mount,Base,52.0,106.74,80.1,66.3,84.0,0.0,-59.226,452.105,41358.8,44579.3,31281.4,-0.1,2.8,3848.8,10852504.6,10673323.7,213682.8,-0.1,2.8,1396220.1,inertia about the centre of mass carries up to ±10395 g·mm² from the 0.1 g mass rounding in the export (centre of mass 456 mm from the component origin)
