subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes,team_ref
arm,printed,3DP_arm05_RS02_shaft_bearing_retainer,RS02 shaft bearing retainer,,,,,,4,7.055410727,,Nylon 12,SLS,,,2026-09-19,"Team BOM P4 ""Arm Shaft Cover, Nylon 12"" x4. Booklet p.9: the cone on the output of the first and of the third RS02 actuator of the arm (shoulder_3 and wrist_1), two per arm, which is this line's 4 and the component's 4 occurrences. The booklet draws it as a printed part, not a machined one. Team BOM weight 0.070624732 and price per unit weight 99.9; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 70.6 g, which equals the Fusion mass of the component (70.6 g). Fusion component `3DP_arm05_x4_RS02_shaft_bearing_retainer`, material `Nylon 12 (with Formlabs Fuse 1 3D Printer)`, 4 occurrence(s), 70.6 g each in CAD.",P4
arm,printed,3DP_arm11_wrist_roll,Wrist-roll link,,,,,,2,7.203008981,,Nylon 12,SLS,,,2026-09-19,"Team BOM P6 ""Wrist Shaft, Nylon 12"" x2. Booklet p.9: the barrel at the wrist roll, one per arm. Team BOM weight 0.072102192 and price per unit weight 99.9; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 72.1 g, which equals the Fusion mass of the component (72.1 g). Fusion component `3DP_arm11_x2_wrist_roll`, material `Nylon 12 (with Formlabs Fuse 1 3D Printer)`, 2 occurrence(s), 72.1 g each in CAD.",P6
arm,printed,3DP_arm14_wrist_block,"Wrist block (Fusion `Component5`, next to the wrist-roll link; role not labelled in CAD)",,,,,,2,13.78127813,,Nylon 12,SLS,,,2026-09-19,"Team BOM P7 ""Wrist Housing R, Nylon 12"" x1; P9 ""Wrist Housing L, Nylon 12"" x1. The team BOM splits this component into a right-hand and a left-hand line of one piece each (Wrist Housing R and L); both carry the same weight, 138.0 g, which is this part's CAD mass. Booklet p.9 labels the housing P7 on one arm and p.11 labels the same shape P9 on the mirrored arm, so the two lines are one part built twice. Team BOM weight 0.137950732 and price per unit weight 99.9; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 138.0 g, which equals the Fusion mass of the component (138.0 g). Fusion component `Component5`, material `Nylon 12 (with Formlabs Fuse 1 3D Printer)`, 2 occurrence(s), 138.0 g each in CAD.","P7, P9"
arm,printed,3DP_arm15_end_effector_attachment,"End-effector attachment between wrist and gripper (Fusion `v15_right_end_effector_attachment`, one per wrist)",,,,,,2,13.00905912,,Nylon 12,SLS,,,2026-09-19,"Team BOM P8 ""Wrist Output, Nylon 12"" x2. Booklet p.9: the end-effector plate below the wrist, one per arm. Team BOM weight 0.130220812 and price per unit weight 99.9; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 130.2 g, which equals the Fusion mass of the component (130.2 g). Fusion component `v15_right_end_effector_attachment`, material `Nylon 12 (with Formlabs Fuse 1 3D Printer)`, 2 occurrence(s), 130.2 g each in CAD.",P8
arm,printed,3DP_armP01_elbow_cover_a,"Elbow cover, half A (Fusion `Component38`, material `elbow_protection`)",,,,,,2,0.21427876,,TPU,FDM,,,2026-09-19,"Team BOM P37 ""Elbow Protection - A, TPU"" x2; P38 ""Elbow Protection - B, TPU"" x2. Booklet p.10: the two curved covers around the elbow motor of one arm, which are the two Fusion components on `elbow_motor_protection` (2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.006124 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 6.1 g, which equals the Fusion mass of the component (6.1 g). Fusion component `Component38`, material `elbow_protection`, 2 occurrence(s), 6.1 g each in CAD.","P37, P38"
arm,printed,3DP_armP02_elbow_cover_b,"Elbow cover, half B (Fusion `Component39`, material `elbow_protection`)",,,,,,2,0.21427876,,TPU,FDM,,,2026-09-19,"Team BOM P37 ""Elbow Protection - A, TPU"" x2; P38 ""Elbow Protection - B, TPU"" x2. Booklet p.10: the two curved covers around the elbow motor of one arm, which are the two Fusion components on `elbow_motor_protection` (2 occurrences each). Which line is A and which is B is UNVERIFIED. Team BOM weight 0.006124 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 6.1 g, which equals the Fusion mass of the component (6.1 g). Fusion component `Component39`, material `elbow_protection`, 2 occurrence(s), 6.1 g each in CAD.","P37, P38"
arm,printed,3DP_armP03_shoulder_cover_a,"Shoulder cover A (Fusion `Component40`, material `shoulder_protection`)",,,,,,2,0.26672877,,TPU,FDM,,,2026-09-19,"Team BOM P39 ""Arm Roll Shaft Protection, TPU"" x8. Booklet p.10 labels P39 four times on one arm: the smooth flat covers over the roll shafts, eight for two arms, which is this line's count. They are the four Fusion components on `shoulder_roll_shaft` and `elbow_shaft` (2 occurrences each, 11 mm thick), and this is the only team BOM line whose name (Arm Roll Shaft Protection) and count fit them. Team BOM weight 0.007623 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 7.6 g, which does NOT equal the Fusion mass of the component (7.9 g). UNVERIFIED. Fusion component `Component40`, material `shoulder_protection`, 2 occurrence(s), 7.9 g each in CAD.",P39
arm,printed,3DP_armP04_shoulder_cover_b,"Shoulder cover B (Fusion `Component41`, material `shoulder_protection`)",,,,,,2,0.26672877,,TPU,FDM,,,2026-09-19,"Team BOM P39 ""Arm Roll Shaft Protection, TPU"" x8. Booklet p.10 labels P39 four times on one arm: the smooth flat covers over the roll shafts, eight for two arms, which is this line's count. They are the four Fusion components on `shoulder_roll_shaft` and `elbow_shaft` (2 occurrences each, 11 mm thick), and this is the only team BOM line whose name (Arm Roll Shaft Protection) and count fit them. Team BOM weight 0.007623 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 7.6 g, which does NOT equal the Fusion mass of the component (7.9 g). UNVERIFIED. Fusion component `Component41`, material `shoulder_protection`, 2 occurrence(s), 7.9 g each in CAD.",P39
arm,printed,3DP_armP05_shoulder_cover_c,"Shoulder cover C (Fusion `Component42`, material `shoulder_protection`)",,,,,,2,0.26672877,,TPU,FDM,,,2026-09-19,"Team BOM P39 ""Arm Roll Shaft Protection, TPU"" x8. Booklet p.10 labels P39 four times on one arm: the smooth flat covers over the roll shafts, eight for two arms, which is this line's count. They are the four Fusion components on `shoulder_roll_shaft` and `elbow_shaft` (2 occurrences each, 11 mm thick), and this is the only team BOM line whose name (Arm Roll Shaft Protection) and count fit them. Team BOM weight 0.007623 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 7.6 g, which equals the Fusion mass of the component (7.6 g). Fusion component `Component42`, material `shoulder_protection`, 2 occurrence(s), 7.6 g each in CAD.",P39
arm,printed,3DP_armP06_shoulder_cover_d,"Shoulder cover D (Fusion `Component43`, material `shoulder_protection`)",,,,,,2,0.26672877,,TPU,FDM,,,2026-09-19,"Team BOM P39 ""Arm Roll Shaft Protection, TPU"" x8. Booklet p.10 labels P39 four times on one arm: the smooth flat covers over the roll shafts, eight for two arms, which is this line's count. They are the four Fusion components on `shoulder_roll_shaft` and `elbow_shaft` (2 occurrences each, 11 mm thick), and this is the only team BOM line whose name (Arm Roll Shaft Protection) and count fit them. Team BOM weight 0.007623 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 7.6 g, which equals the Fusion mass of the component (7.6 g). Fusion component `Component43`, material `shoulder_protection`, 2 occurrence(s), 7.6 g each in CAD.",P39
arm,printed,3DP_armP07_shoulder_cover_e,"Shoulder cover E (Fusion `Component34`, material `measured_shoulder_protection`)",,,,,,2,0.43576546,,TPU,FDM,,,2026-09-19,"Team BOM P33 ""Shoulder 2 Protection - A, TPU"" x2; P34 ""Shoulder 2 Protection - B, TPU"" x2. Booklet p.10: the two curved covers around the shoulder-pitch motor of one arm, which are the two Fusion components on `shoulder_pitch_protection` (2 occurrences each) once the four smooth shaft covers of the same page are settled as `P39`. Which line is A and which is B is UNVERIFIED. Team BOM weight 0.012454 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 12.5 g, which equals the Fusion mass of the component (12.5 g). Fusion component `Component34`, material `measured_shoulder_protection`, 2 occurrence(s), 12.5 g each in CAD.","P33, P34"
arm,printed,3DP_armP08_shoulder_cover_f,"Shoulder cover F (Fusion `Component35`, material `measured_shoulder_protection`)",,,,,,2,0.43576546,,TPU,FDM,,,2026-09-19,"Team BOM P33 ""Shoulder 2 Protection - A, TPU"" x2; P34 ""Shoulder 2 Protection - B, TPU"" x2. Booklet p.10: the two curved covers around the shoulder-pitch motor of one arm, which are the two Fusion components on `shoulder_pitch_protection` (2 occurrences each) once the four smooth shaft covers of the same page are settled as `P39`. Which line is A and which is B is UNVERIFIED. Team BOM weight 0.012454 and price per unit weight 34.99; their product is the unit cost. The sheet states no unit for the weight (its column is headed `weight (check urdf)`); read as kilograms it is 12.5 g, which equals the Fusion mass of the component (12.5 g). Fusion component `Component35`, material `measured_shoulder_protection`, 2 occurrence(s), 12.5 g each in CAD.","P33, P34"
