team_ref,item,category,part_id,qty_team,qty_cad,booklet_page,evidence,status
E0,MINISFORUM X1-470 Mini PC,Electronics,EL_COMPUTE_MINIPC,1,,p.2,Booklet p.2: the one large light box standing against the printed spine inside the torso.,settled
E1,Robstride 00 QDD Actuator,Electronics,ACT_RS00,2,,p.9,"Booklet p.9: the small actuator at the wrist, one per arm.",settled
E2,Robstride 02 QDD Actuator,Electronics,ACT_RS02,6,,p.9,"Booklet p.9: the three medium actuators of one arm (shoulder_3, elbow and wrist_1): six positions for two arms, which is this line's count.",settled
E3,Robstride 03 QDD Actuator,Electronics,ACT_RS03,11,,"p.1, p.4, p.5","Booklet p.1, p.4, p.5: three actuators in the torso plus four per leg (hip 1 and hip 2 on p.4, hip 3 and ankle on p.5): eleven positions, which is this line's count.",settled
E4,Robstride 04 QDD Actuator,Electronics,ACT_RS04,2,,p.5,"Booklet p.5: the wide actuator at the knee, one per leg.",settled
E5,Robstride 05 QDD Actuator,Electronics,ACT_RS05,6,,"p.9, p.14","Booklet p.9, p.14: the short cylinder at the wrist (one per arm) and two per camera gimbal: six positions, which is this line's count.",settled
E6,Robstride 06 QDD Actuator,Electronics,ACT_RS06,2,,"p.5, p.9","Booklet p.5, p.9: the actuator at the ankle roll (one per leg) and at the shoulder (one per arm): four positions, against this line's quantity of 2.",settled
E7,Zeee 6S Lipo Battery 10000mAh 22.2V x2,Electronics,EL_BATTERY_6S,1,,p.2,Booklet p.2: two prismatic packs beside the torso.,settled
E8,TVS DIODE 53VWM 85VC,Electronics,EL_TVS_DIODE,10,,—,Not labelled in the booklet.,settled
E9,"Belkin USB A to USB C Cable 2-Pack, 6.6ft",Electronics,CBL_USBA_USBC_BELKIN,2,,—,Not labelled in the booklet.,settled
E10,Serial Bus Servo Driver Board for ST/SC Series Serial Bus Servos,Electronics,EL_SERVO_DRIVER,2,,p.13,"Booklet p.13: the green driver board above the gripper body, one per gripper.",settled
E11,DC 20V-60V to 12V Encased Buck Converter,Electronics,EL_BUCK_12V_ENC,1,,—,Not labelled in the booklet.,settled
E12,48V to 12V Buck Converter,Electronics,EL_BUCK_48V_12V,2,,p.13,"Booklet p.13: the grey converter on its plate beside the gripper body, one per gripper.",settled
E13,CANable PRO V2.0 USBCAN Controller,Electronics,EL_CAN_ADAPTER,6,,p.2,"Booklet p.2: six light boxes with a black connector, in two columns in the tray.",settled
E14,RealSense Depth Camera D436,Electronics,EL_CAM_D436,2,,p.14,"Booklet p.14: the camera on the gimbal, one per column.",settled
E15,Feetech HL-3915-C001 12V 14.2Kg Servo,Electronics,EL_SERVO_FEETECH,2,,p.13,"Booklet p.13: the red and grey servo inside the gripper body, one per gripper.",settled
E16,Vention USB Hub,Electronics,EL_USB_HUB,3,,p.2,Booklet p.2: three port strips on the spine.,settled
E17,IMU,Electronics,EL_IMU_TM171,1,,p.2,Booklet p.2: the small module on the top plate of the torso.,settled
E18,TTocas Surge Protector,Electronics,EL_SURGE_PROTECTOR,1,,p.2,Booklet p.2: the stepped light block beside the torso.,settled
E19,Power Distribution Block Terminals,Electronics,EL_DIST_BLOCK,4,,p.2,Booklet p.2: two small terminal blocks in the tray.,settled
E20,Voltage Sensor for LiPo,Electronics,EL_VOLTAGE_CHECKER,2,,p.2,Booklet p.2: two small blocks beside the torso.,settled
C0,Body Plate - Top,CNC,CNC_body03_top_plate,1,1,p.1,"Booklet p.1: the rectangular plate closing the top of the torso, one off.",settled
C1,Body Plate - Bottom,CNC,CNC_body01_bottom_plate,1,1,p.1,"Booklet p.1: the plate closing the bottom of the torso, with the large round bore, one off.",settled
C2,Body Plate - Side,CNC,CNC_body02_side_plate,2,2,p.1,Booklet p.1: the two tall side plates.,settled
