file_name,fusion_name,qty_in_model,part_id,bom_file,description,mpn,vendor,vendor_url,note
CORE~3,CORE,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
BOARD_3D_KMMV03_2024-10-21_2__2.stp,BOARD_3D_KMMV03_2024-10-21_2__2.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
SOLID-17_CON_P4_11_438X3_2_HD_3.stp,SOLID-17_CON_P4_11_438X3_2_HD_3.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
SOLID-17_CON_P4_11_438X3_2_HD_2.stp,SOLID-17_CON_P4_11_438X3_2_HD_2.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_1_02_EB571-960.stp,1_1_02_EB571-960.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_1_04_EB572-5105.stp,1_1_04_EB572-5105.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_1_06_EB573-643.stp,1_1_06_EB573-643.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_1_14_PL574-570.stp,1_1_14_PL574-570.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_21_121000022__SGQZC619-4_4-.stp,1_21_121000022__SGQZC619-4_4-.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
SGQZC__35.stp,SGQZC__35.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_2_04_000306.stp,1_2_04_000306.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_2_05_000314.stp,1_2_05_000314.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_2_05_020068.stp,1_2_05_020068.stp,14,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
1_2_05_025121.stp,1_2_05_025121.stp,8,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
OUTPUT-SHAFT.stp,OUTPUT-SHAFT.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
back_lid_1_1_06_EB573-642.stp,back_lid_1_1_06_EB573-642.stp,2,ACT_RS00,actuators.csv,RobStride 00 quasi-direct-drive actuator,RobStride 00,Amazon,https://www.amazon.com/RobStride-14N-m-Integrated-Actuator-Module/dp/B0GS4XFK7Z/,via `robstride00`
half-bearing_30x37x4_6706_0.9kN_8g,half-bearing_30x37x4_6706_0.9kN_8g,4,FAS_BEARING_30X37X4,fasteners.csv,"Ball bearing, 30 x 37 x 4 mm",,Amazon,https://www.amazon.com/XIKE-6706-2RS-Bearings-30x37x4mm-Pre-Lubricated/dp/B09D35XB19,"2 of this size modelled per transforms.csv, all fitted loose; each is two `half-bearing` components, so qty_in_model 4 = 2 bearings"
0001755652_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE_2__FL46BLW10-48V-5N.m-DE,0001755652^1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE,4,ACT_RS05,actuators.csv,RobStride 05 quasi-direct-drive actuator,RobStride 05,AiFitLab,https://aifitlab.com/products/robstride-05-motor,via `robstride05`
