Category,Item,Description,Quantity,Cost USD,Total Cost USD,US Link,Cost RMB,Total Cost RMB,China Link
Bearing,MR106-2RS,"Bearing between input shaft and cycloidal disk, and between input shaft and output shaft",13,$0.87,$11.31,https://www.amazon.com/dp/B082PSCNKB?ref_=cm_sw_r_cp_ud_dp_XR6N8JQ34JH0ZSWHT5HK,¥0.90,¥11.70,https://detail.tmall.com/item.htm?abbucket=9&id=728753970557&skuId=5050168324949
,6701-2RS,Bearing between cycloidal disk and output shaft,2,$0.94,$1.88,https://www.amazon.com/gp/product/B082PQ8DC2,¥2.30,¥4.60,https://detail.tmall.com/item.htm?abbucket=9&id=672836796497&skuId=5017505094887
,6809ZZ,Bearing between output shaft and housing,2,$2.26,$4.52,https://www.amazon.com/gp/product/B082PQQP7W,¥3.89,¥7.78,https://detail.tmall.com/item.htm?abbucket=8&id=695287603935&ns=1&skuId=5102438922481
Fastener,M3 x 55 mm,Mounting housing,4,$0.26,$1.04,https://www.amazon.com/gp/product/B01N68JLPE/,¥0.35,¥1.40,https://detail.tmall.com/item.htm?abbucket=8&id=654819932601&skuId=5014407101270
,M3 x 25 mm,Mounting output shaft,6,$0.19,$1.14,https://www.amazon.com/gp/product/B0967ZWJMM,¥0.07,¥0.42,https://detail.tmall.com/item.htm?abbucket=8&id=654819932601&skuId=5014407101291
,M2 x 3 x 3.5 mm,M2 threaded insert for mounting encoder,4,$0.07,$0.28,https://www.amazon.com/dp/B0B8GN63S2,¥0.08,¥0.32,https://detail.tmall.com/item.htm?abbucket=15&detail_redpacket_pop=true&id=782342751792&ltk2=17485620751152zhp830pukcquvctzlac4b&ns=1&priceTId=2100c81317485620709007211e0954&query=m2%20x%203%20x%203.5%20%E9%93%9C%E8%9E%BA%E6%AF%8D&skuId=5345071429845&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%222faee2920b940213ff20f82d21cde0f9%22%7D&xxc=taobaoSearch
,M3 x 4 x 5 mm insert,M3 threaded insert,24,$0.08,$1.92,https://www.amazon.com/gp/product/B0BTYF2MMD,¥0.13,¥3.12,https://item.taobao.com/item.htm?id=593581996419&skuId=4189077672129
,M4 x 12 mm hex stand,input shaft stiffener,1,$0.40,$0.40,https://www.amazon.com/uxcell-Female-Threaded-Standoff-Pillar/dp/B018RSONJK/ref=sr_1_1?crid=2WLB919N1L1L5&dib=eyJ2IjoiMSJ9.m2vg2AaWPTTbm1EdOYuKNNgieOsUcQuou31Wb5SKZHRZq-gFAW7HqdOjL1YSw6UQrThYcDYVLVJR7cxb2cbm3pSlXJDUCvU76By5FdrIJ6Ev-8ra_oVxl6_eOZHCVZTDk_mGGCHi6leipTE8eAioRlStxTxQ7Eq6Jw8j5aJKp6ojKNppISxAXM1yTDniUoRpp6dPxv-ZvilHfpF2o4YstAOgGmT85KbLkEkCFAgbiZWjG2UbcsX9sZeICTBEZCu_y0P7V-l7OcU-qSa4qGnXFi7vlhWau9ZZPLYWGYP6AQ8.VZ0vy6g5WUPFsJhjbtkdjfD0gs1IMc7tb4DEtHeCZl4&dib_tag=se&keywords=m4+x+12+mm+hex+stand&qid=1748561795&s=industrial&sprefix=m4+x+12+mm+hex+stan%2Cindustrial%2C132&sr=1-1,¥0.26,¥0.26,https://detail.tmall.com/item.htm?abbucket=8&id=645528391157
Motor,MAD Components 5010 110KV,,1,$84.00,$84.00,https://www.amazon.com/gp/product/B082W5B5LZ,¥448.00,¥448.00,https://item.taobao.com/item.htm?abbucket=8&id=534590842464
Structural,PLA,"3D print filament, in kg",0.1,$25.99,$2.60,https://www.amazon.com/gp/product/B00J0GMMP6,¥79.00,¥7.90,https://detail.tmall.com/item.htm?abbucket=8&id=693972799714
Electrical,B-G431B-ESC1,Motor controller,1,$18.97,$18.97,https://www.digikey.com/en/products/detail/stmicroelectronics/B-G431B-ESC1/10321670,¥165.00,¥165.00,https://item.taobao.com/item.htm?abbucket=8&id=656153143517
,AS5600,I2C position encoder,1,$3.30,$3.30,https://www.amazon.com/gp/product/B09LMB3PTZ,¥5.40,¥5.40,https://item.taobao.com/item.htm?abbucket=8&id=828546819482
,Misc,Cables & connectors,1,$5.00,$5.00,,¥20.00,¥20.00,
,,,,,,,,,
Total,,,,,$136.36,,,¥675.90,
,,,,,,,,$95.20,
