PART,UNIT COST,QUANTITY
CNC_leg18_x2_foot_plate,107.52,2pcs
CNC_leg17_x2_ankle_roll_support_shaft,69.2,2
CNC_leg05_x2_hip_roll_back_bearing_retainer,136.04,2
CNC_leg03_x5_RS03_shaft_bearing_retainer,246.7,5
CNC_leg06_x2_hip_roll_output_shaft,119.92,2
CNC_leg11_x2_knee_support_shank,100.1,2
CNC_leg10_x2_knee_output_shank,226.58,2
CNC_leg15_x2_RS06_shaft_bearing_retainer,75.62,2
CNC_leg13_x2_ankle_pitch_front,157.64,2
CNC_leg04_x2_hip_roll_front_bearing_retainer,97.18,2
CNC_leg07_x2_hip_roll_support_shaft,114.86,2
CNC_leg08_x2_knee_front_bearing_retainer,109.62,2
CNC_leg16_x2_ankle_roll_output_shaft,78.8,2
CNC_leg01_x2_hip_center_back,163.18,2
CNC_leg02_x7_RS03_shaft_coupler,274.02,6
CNC_arm13_x2_RS05_shaft_coupler,109.8,3
CNC_leg14_x2_ankle_pitch_back,191.7,2
CNC_leg09_x2_knee_motor_back_cover,162.7,2
CNC_arm06_x4_RS02_shaft_coupler,$146.76,4
CNC_arm04_x4_shoulder_roll_support_shaft,$115.12,4
CNC_body03_x1_top_plate,$64.53,1
CNC_arm05_x4_RS02_shaft_bearing,$123.08,4
CNC_arm03_x2_shoulder_roll_output_shaft,$63.44,2
CNC_body02_x2_side_plate,$218.28,2
CNC_leg02_x7_RS03_shaft_coupler,$100.26,2
CNC_body04_x4_front_plate,$188.32,4
CNC_arm11_x2_wrist_roll,$239.58,2
CNC_arm10_x4_r03_back_cover,$217.00,4
CNC_arm09_x2_elbow_output_shaft,$62.84,2
CNC_body01_x1_bottom_plate,$64.03,1
CNC_arm01_x2_shoulder_roll_front_bearing,$93.38,2
CNC_arm08_x2_elbow_back_bearing,$131.30,2
CNC_arm12_x2_wrist_pitch,$192.52,2
CNC_arm07_x2_elbow_front_bearing,$115.88,2
CNC_arm02_x2_shoulder_roll_back_bearing,$198.48,2
CNC_leg12_x4_lower_leg_bearing,$82.50,5
02_hip_0_m04_back_bracket_x2,$159.94,2
B6_single_leg_tester_plate,$101.38,1
08_hip_1_back_shaft_x2,$37.93,1
B5_body_shelf,$93.71,1
13_knee_front_shaft_x2,$60.82,1
17_ankle_0_back_cover_x2,$76.78,1
15_ankle_cap_x4,$38.64,2
B1_body_base_plate,$95.01,1
05_hip_1_front_bracket_x2,$49.62,1
18_ankle_1_back_retainer_x2,$23.37,1
22_foot_plate_x2,$22.48,1
12_knee_m04_back_cover_x2,$72.92,1
21_ankle_1_front_shaft_x4,$75.00,2
04_hip_1_m04_shaft_x2,$41.28,1
06_hip_1_back_bracket_x2,$70.42,1
09_hip_2_back_cover_x2,$63.00,1
10_m03_front_retainer_x2,$40.06,1
01_m03_shaft_x3,$92.77,2
16_ankle_0_front_retainer_x2,$53.34,1
03_hip_1_m04_front_retainer_x2,$54.29,1
B3_body_side_plate_x2,$198.11,2
B2_body_top_plate,$126.84,1
14_knee_back_shaft_x2,$59.48,1
19_ankle_1_m02_back_cover_x2,$49.79,1
11_knee_m04_front_retainer_x2,$48.44,1
07_hip_1_front_shaft_x2,$38.04,1
20_ankle_1_front_retainer_x2,$38.68,1

# running subtotals recorded in col E of the sheet:,"2076.98 / 1374.19 / $1,317.87 / $1,620.82",
TOTAL CNC,6389.86,
