Type,Item Description,Vendor Link,Alternative Link,Unit Price,QTY (2XC),Total Price,QTY (2XM),Total Price,Note
Assembed Kit,ToddlerBot 2.0 Fully Assembled,https://shop.wowrobo.com/products/toddlerbot-2-0-assembly-version,https://item.taobao.com/item.htm?ft=t&id=970730280172,"$4,299",1,"$4,299.00",,,"Buy your own Jetson Orin NX 16G ($955), WiFi ($27.85). and Battery (~$50)"
Disclaimer,We are not affiliated with or endorse this company in any way. We have not tested or validated the product. Any such offerings are independent of our project.,,,,,,,,
,,,,,,,,,
Essentials (Highlighted are additional things to buy from 1.0 to 2.0),,,,,,,,,
"Motors
",DYNAMIXEL 2XC430-W250-T,DYNAMIXEL 2XC430-W250-T - ROBOTIS,,$298.89,2,$597.78,6,"$1,793.34",
,DYNAMIXEL 2XL430-W250-T,DYNAMIXEL 2XL430-W250-T - ROBOTIS,,$149.39,6,$896.34,0,$0.00,
,DYNAMIXEL XC330-T288-T,DYNAMIXEL XC330-T288-T - ROBOTIS,,$103.39,6,$620.34,6,$620.34,
,DYNAMIXEL XC430-T240BB-T,DYNAMIXEL XC430-T240BB-T - ROBOTIS,,$137.89,4,$551.56,4,$551.56,
,DYNAMIXEL XM430-W210-T,DYNAMIXEL XM430-W210-T - ROBOTIS,,$310.39,4,"$1,241.56",4,"$1,241.56",
,DYNAMIXEL XM430-W350-T,DYNAMIXEL XM430-W350-T - ROBOTIS,,$310.39,0,$0.00,4,"$1,241.56",
,DYNAMIXEL HN11-I101 Set,HN11-I101 Set - ROBOTIS,,$8.05,10,$80.50,8,$64.40,
,DYNAMIXEL HN12-I101 Set,HN12-I101 Set - ROBOTIS,,$20.47,4,$81.88,6,$122.82,
,,,,,$ of 2XC,"$4,069.96",$ of 2XC+,"$1,565.62",
Parallel Gripper,DYNAMIXEL XC330-T288-T,DYNAMIXEL XC330-T288-T - ROBOTIS,,$103.39,2,$206.78,,,
Computers,Jetson Orin NX 16G,NVIDIA® Jetson Orin™ NX 16GB AI Device - reComputer J4012,,$955.00,1,$955.00,,,Can replace with Jetson Orin Nano if budget is tight
,M.2 CB375NF Wifi Card,"Amazon.com: AW-CB375NF Wireless NIC, 2.4G/5GHz Dual-Band WiFi 5 Supports BLE, NGFF (M.2 A/E Key) Interface, for Jetson Xavier NX/Jetson Orin NX/Jetson Orin Nano : Electronics",,$18.36,1,$18.36,,,
,WiFi Antenna,Amazon.com: WiFi 6E Antenna IPX MHF4 Tri-Band 6GHz 5GHz 2.4GHz Internal Laptop Wi-Fi Antennas for AX200 AX210 1675X M.2 NGFF Card : Electronics,,$9.49,1,$9.49,,,
Sensors,FIsheye Camera,"Amazon.com: Arducam 1080P Low Light WDR Ultra Wide Angle USB Camera Module for Computer, 2MP CMOS IMX291 160 Degree Fisheye Mini UVC USB2.0 Webcam Board with Microphone, 3.3ft Cable for Windows Linux Mac OS : Electronics",,$49.99,2,$99.98,,,
